K,scheme,dt,actual_t,steps_completed,wall_s,curl_H_linf_abs,u_h1_full_rel,u_h1_full_rel_rate,p_tilde_l2_rel,p_tilde_l2_rel_rate,omega_h1_full_rel,omega_h1_full_rel_rate,m_hdiv_rel,m_hdiv_rel_rate,k_l2_rel,k_l2_rel_rate,phi_h1_rel,phi_h1_rel_rate,H_hcurl_rel,H_hcurl_rel_rate
4,first,0.25,2.0,8,11.149338730145246,1.222041022084176e-13,0.9655426305564127,,0.56019235614291,,0.6418201982876846,,0.3915971528534545,,0.5151100921796551,,0.6584793738926552,,0.6622301943139909,
8,first,0.125,2.0,16,66.29874644987285,5.194557825007235e-13,0.43069800952040554,1.1646633021806008,0.10259791446105312,2.4489208927464214,0.35671442138013226,0.8473996496275849,0.19873286380827984,0.9785398096106851,0.2681305558989084,0.9419451691980184,0.3767754254979968,0.8054333796101429,0.3796530290810368,0.8026512729271447
16,first,0.0625,2.0,32,956.4373051240109,2.026665216309221e-12,0.19858424574189715,1.1169254818825396,0.021171600398855184,2.2767991706838187,0.18331422819131868,0.960450775756883,0.09973825308896762,0.9946116265114602,0.13522694967270968,0.9875529387168133,0.18757164049181227,1.0062631517869836,0.18934547707443714,1.0036605590838223
32,first,0.03125,2.0,64,46267.4235114879,8.506704809180055e-12,0.09800170717872632,1.0188723881233464,0.005059597027150345,2.065035938540214,0.09201811065648278,0.994329027016258,0.04991871190382524,0.9985662269265907,0.06774953361638447,0.9970997779147096,0.09261955244240684,1.0180530282748597,0.09357238349998365,1.0168662520321639
4,second,0.25,2.0,8,25.187669239006937,7.300079923131405e-13,0.5687264162596359,,0.4199953070347539,,0.2138068451713955,,0.11936641963245963,,0.21008136548642026,,0.20119157658371678,,0.20303417861098552,
8,second,0.125,2.0,16,168.71096439426765,3.9064057601854906e-12,0.15089674491555782,1.914173131327545,0.09481523234546028,2.1471824514712687,0.062016928560543486,1.7855740604871024,0.03161282702105754,1.9168150710815455,0.09580409883870293,1.1327889126014923,0.06009827887925856,1.7431743240623647,0.060718250505318455,1.7415204823579844
16,second,0.0625,2.0,32,3232.2443677382544,1.8491884151313976e-11,0.024804548158874142,2.6048851025939763,0.02087169727135816,2.1835709267495953,0.016320314369571307,1.9259932296123943,0.007838302014371464,2.0118969890141702,0.04608422710429438,1.0558143259394603,0.016118555432854193,1.8986012216556984,0.016289062713001082,1.8982266302014215
32,second,0.03125,2.0,64,48717.19639801979,6.961135534908213e-11,0.0055259296808429495,2.166315568610063,0.005038244721214098,2.0505548196889496,0.004134458812641686,1.980898444719632,0.0019494310513909546,2.007488032334492,0.022804465871315363,1.014956675315602,0.004118923386514032,1.968383256430727,0.004162656504116704,1.96832717273856
