scheme,K,dt,steps,E0,E_final,E_final_over_E0,max_energy_increment,max_step_balance_scaled,max_cumulative_balance_scaled,max_full_relative_residual,curl_H_linf_abs,wall_s,peak_rss_gib,status
first,8,0.0625,8,0.04205864774196278,3.862968318329589e-06,9.184718305803792e-05,-6.99207934480469e-06,3.6876341000405297e-14,1.9467803284700705e-14,2.4687995576508826e-12,1.3778328550945482e-18,20.115180253982544,9.138099670410156,PASS
first,8,0.03125,16,0.04205864774196278,1.3439774111945358e-06,3.195484123598253e-05,-1.0626073944612026e-06,2.2210965381997122e-14,2.7056946938058608e-14,3.303318765301421e-12,9.594576663343224e-19,30.187487602233887,9.125816345214844,PASS
first,8,0.015625,32,0.04205864774196278,6.83341129665349e-07,1.6247339521179267e-05,-2.5060265677851696e-07,4.6127855979214515e-14,4.7019694374065266e-14,3.55862083237168e-12,6.015246086923505e-19,65.41490912437439,9.339492797851562,PASS
second,8,0.0625,8,0.04295032504976962,4.7746595070830905e-06,0.00011116701681652817,-2.690445626939113e-06,3.711414407152091e-11,1.6365649192440106e-13,7.817849781136954e-13,1.2186602185866276e-15,85.61120390892029,12.698928833007812,PASS
second,8,0.03125,16,0.042950325049769617,1.1160027868362643e-06,2.5983570218457533e-05,-2.950926309543714e-07,7.766009444033524e-13,9.029379401436107e-13,7.832919091957696e-13,1.5716250041522723e-16,125.9110963344574,15.379722595214844,PASS
second,8,0.015625,32,0.042950325049769617,4.483063157189849e-07,1.0437786331058037e-05,-1.2218119249710578e-07,2.666644823279338e-13,1.7108807990912214e-13,2.703014146720659e-13,2.891813334429599e-17,241.84688234329224,14.549186706542969,PASS
